collision_date,NUM_COLLISIONS,vehicle_1,vehicle_2,vehicle_3,vehicle_4,vehicle_5
2013-08-23,636,636,570,41,10,1
2013-09-07,585,584,524,48,11,1
2013-08-09,579,579,510,44,12,2
2013-07-17,609,608,564,32,6,4
2013-07-12,599,599,544,49,8,2
2013-07-26,617,617,564,46,7,3
2013-08-05,545,543,494,36,6,0
2013-07-20,551,551,480,48,13,4
2013-07-18,636,636,580,71,17,4
2013-08-04,454,454,397,31,7,2
2013-07-19,697,695,635,44,9,1
2013-07-10,614,614,549,44,11,5
2013-08-03,492,492,443,43,9,0
2013-07-05,576,575,515,40,11,1
2013-06-23,505,504,461,43,5,1
2013-06-15,596,596,532,39,10,3
2013-06-17,614,614,545,37,11,3
2013-06-20,681,681,617,42,10,1
2013-07-02,601,601,536,43,7,2
2013-06-24,680,680,614,37,5,1
2013-07-08,617,617,557,36,7,4
2013-06-16,477,476,426,41,8,1
2013-07-07,475,475,422,34,4,0
2013-05-22,570,570,513,35,9,0
2013-06-04,613,613,534,36,10,1
2013-05-19,544,544,477,42,12,3
2013-06-11,635,634,549,33,4,1
2013-06-05,599,599,541,33,5,0
2013-05-13,577,575,526,31,8,1
2013-05-17,741,740,669,61,15,2
2013-04-04,566,566,518,33,7,0
2013-05-02,585,585,526,41,9,1
2013-04-24,598,598,539,33,8,0
2013-05-04,580,580,524,46,11,2
2013-05-11,523,523,457,35,9,1
2013-04-28,440,439,397,33,5,1
2013-05-08,620,620,541,37,6,2
2013-04-27,517,516,452,40,13,7
2013-03-29,520,518,470,42,8,4
2013-04-10,580,579,523,36,9,2
2013-03-28,549,549,494,44,11,6
2013-04-13,555,555,500,29,8,2
2013-04-03,532,532,463,31,3,1
2013-02-24,426,426,374,32,8,3
2013-03-02,474,474,432,39,9,3
2013-02-22,531,530,471,34,5,0
2013-03-08,851,851,766,60,12,3
2013-03-03,502,501,439,34,8,2
2013-02-21,498,498,439,30,8,4
2018-01-19,599,598,515,33,3,0
2018-01-26,677,676,582,52,7,2
2017-12-27,577,575,489,46,7,2
2017-12-22,720,716,627,40,7,1
2017-12-16,661,657,553,47,8,3
2017-09-24,587,583,497,48,17,3
2017-11-11,623,619,538,37,9,2
2017-11-12,539,537,459,39,10,3
2017-11-09,702,699,615,45,15,0
2017-11-16,811,809,693,48,14,5
2017-10-16,641,641,541,33,7,0
2017-10-20,823,823,690,67,13,1
2017-11-05,519,517,423,50,5,1
2017-09-29,757,751,663,56,13,5
2017-09-20,583,582,500,37,8,2
2017-09-01,681,679,607,38,10,1
2017-08-29,614,613,522,37,10,5
2017-09-08,740,739,662,45,12,2
2017-09-16,623,619,534,53,15,4
2017-07-29,512,509,422,42,11,5
2013-03-10,415,414,380,34,8,1
2012-11-17,542,542,484,44,10,5
2013-01-12,475,475,417,39,13,3
2013-01-31,592,592,516,43,9,4
2013-01-21,355,355,307,31,7,5
2013-02-01,574,573,505,33,9,2
2013-01-23,545,544,489,40,8,1
2013-01-28,507,507,421,33,10,4
2013-01-22,544,544,487,34,6,1
2012-12-20,606,606,550,36,0,0
2012-12-13,545,545,483,28,5,0
2012-12-28,557,557,492,44,11,3
2012-12-19,590,590,530,45,7,1
2012-12-27,525,525,450,35,6,1
2013-01-01,381,381,319,41,12,2
2012-12-31,482,482,423,29,6,2
2012-12-22,542,542,489,38,8,2
2012-11-30,576,576,513,31,3,1
2012-11-19,585,585,534,36,5,1
2012-11-27,583,583,502,26,2,1
2012-11-13,648,648,583,44,13,6
2012-11-28,512,512,455,29,7,1
2012-11-23,481,481,430,23,5,1
2012-11-15,623,623,556,24,4,1
2012-12-10,619,619,536,37,8,4
2012-11-26,563,563,514,38,7,2
2012-12-07,714,714,604,41,6,3
2012-11-10,444,444,397,29,11,5
2012-11-11,526,526,454,36,8,2
2012-10-11,657,657,583,45,9,0
2012-10-18,630,630,578,46,8,3
2012-10-24,494,494,438,37,9,1
2012-11-04,344,344,301,20,6,0
2012-10-17,615,615,546,49,6,3
2012-10-12,594,594,536,42,12,5
2012-10-19,738,738,661,46,7,2
2012-10-31,549,549,470,22,6,1
2012-10-15,607,607,551,43,5,0
2012-10-20,587,587,529,39,7,4
2012-09-13,632,632,574,34,7,0
2012-09-12,651,651,602,42,11,2
2012-09-29,485,485,444,33,6,2
